Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Tarhonyaleves;Sütőtökkrémleves pirított tökmaggal;Békési betyárleves;Snidlinges kertészleves;Tárkonyos szárnyasraguleves;;
A menü:;Sertéssült tört burgonyával ribizlis pecsenyelével;Sertésborda budapest módra kockaburgonyával;Fix – Szántódi ropogós sült burgonyával;Cigánypecsenye hasábburgonyával;Rakott burgonya kolbásszal;;
B menü:;Kentucky csirkemell coleslaw salátával;Füstölt sajttal-brokkolival töltött csirkemell jázmin rizzsel;Joghurtban pácolt csirkemell kukoricás rizzsel;Baconbe göngyölt csirkemáj burgonyapürével;Gyrostál;;
C menü:;;Sárgaborsó főzelék fasírttal;Mákos guba vanília öntettel;Káposztás tészta;;;
