Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Tarhonyaleves;Szatmári szilvaleves;Frankfurti leves;Kertészleves eperlevéllel;Palócleves;;
A menü:;Rakott erdélyi káposzta;Bácskai rizseshús;Fix – Szántódi ropogós sült burgonyával;Sajttal-gombával töltött sertéskaraj hasábburgonyával;Rakott burgonya kolbásszal;;
B menü:;Csirkemell panko morzsában, medvehagymás tört burgonyával;Baconbe göngyölt csirkemell sajtmártással, hercegnőburgonyával;Sült kacsacomb lila coleslaw salátával;Tejszínes-chilis indiai csirkeragu penne tésztával;Szezámmagos bundában sült csirkemell rizibizivel;;
C menü:;;Sárgaborsó főzelék sült kolbásszal;Aranygaluska vanília sodóval;Grillezett camembert sajt tökmagos salátával;;;
