Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Brokkolikrémleves levesgyönggyel;Vegyes gümölcsleves;Pikáns burgonyagombócleves füstölt tarjával;Tavaszi zöldségleves;Lencsegulyás;;
A menü:;Lasagne;Óvári sertésszelet, párolt rizzsel;Fix – Szántódi ropogós sült burgonyával;Tarkaborsos sertéstokány főtt tésztával;Túrós csusza tepertővel;;
B menü:;Parmezán bundás csirkemell szelet, mexikói rizzsel;Gyros tál;Magyaros csibemáj rizibizivel;Pácolt argentín csirkecombfilé bulgurral, kukoricasalátával;Aszalt gyümölccsel-sajttal töltött csirkemell burgonyakrokettel;;
C menü:;;Sárgaborsó főzelék sült kolbásszal;Vaníliás-mákos nudli meggy mártással;„Balatoni” hekk hasábburgonyával;;;
