Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Karfiolleves csurgatott tésztával;Hideg fahéjas almaleves;Palócleves;Spárgakrémleves levesgyönggyel;Orjaleves cérnametélttel;;
A menü:;Mokka pecsenye sült burgonyával;Sertéscsíkok stroganoff módra párolt rizzsel;Fix – Szántódi ropogós sült burgonyával;Paprikáskrumpli;Paradicsomos húsgombóc főtt burgonyával;;
B menü:;Csirkemell bécsi bundában vegyes körettel;Grillezett csirkemell hasábburgonyával, görög salátával;Tejszínes-bazsalikomos csirkeragu penne tésztával;Grillezett csirkemell sült kápia paprika mártással, burgonyakrokettel;Baconnel-sajttal töltött csirkemell burgonyapürével;;
C menü:;;Zöldborsófőzelék fasírttal;Mákosguba vanília öntettel;Tengerihal fekete szezámmagos bundában párolt jázminrizzsel, fokhagymás majonézzel;;;
