Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Lencsekrémleves bacon kockával;Szatmári szilvaleves;Frankfurti leves;Kertészleves eperlevéllel;Tejfölös babgulyás;;
A menü:;Rakott brokkoli füstölt sajttal;Bácskai rizseshús;Fix – Szántódi ropogós sült burgonyával;Sajttal-kolbásszal töltött sertéskaraj, hasábburgonyával;Juhtúrós sztrapacska;;
B menü:;Csirkemell panko morzsában, burgonyapürével;Baconbe göngyölt csirkemell sajtmártással, hercegnő- burgonyával;Szezámmagos kéregben sült csirkemell, snidlinges burgonyasalátával;Tejszínes-chilis indiai csirkeragu penne tésztával;Zöldfűszeres bundában sült csirkemell rizibizivel;;
C menü:;;Borsófőzelék fasírttal;Túrógombóc fahéjas tejföllel;Grillezett camembert sajt mazsolás rizzsel, áfonyával;;;
