Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Csontleves cérnametélttel;Zöldborsókrémleves;Alföldi gulyás;Meggyleves;Rozmaringos-tejszínes sertésraguleves;;
A menü:;Paradicsomos húsgombóc főtt burgonyával;Csikós tokány masni tésztával;Fix – Szántódi ropogós sült burgonyával;Dijoni mustáros sertésszelet tört burgonyával;Milánói sertésborda;;
B menü:;Panko morzsában sült csirkemell édesburgonya hasábbal;Hawaii csirkemell kukoricás jázminrizzsel;Spenótos penne tészta csirkemell csíkokkal, parmezán sajttal;Kakukkfüves joghurtban pácolt csirkecombfilé friss kevert salátával, párolt jázminrizzsel;Sült csirkecomb céklás-joghurtos burgonyasalátával;;
C menü:;;Rántott sajt hasábburgonyával, tartármártással;Túrós derelye fahéjas tejföllel;Sonkás trikolor tésztasaláta;;;
