Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Brokkoli krémleves;Hideg vilmoskörte leves;Korhely leves;Kertészleves zabkockával;Falusi sertésraguleves;;
A menü:;Sertésszelet békési kolbászraguval, párolt rizzsel;Sertésszelet Budapest módra, kocka burgonyával;Fix – Szántódi ropogós sült burgonyával;Cigánypecsenye hasábburgonyával;Carbonara spagetti;;
B menü:;Parmezán bundás csirkemell, petrezselymes újburgonyával;BBQ csirkecomb bulgurral, friss kevert salátával;Édes-savanyú csirke pirított spagettivel;Firenzei jércemell krokettel;Csirkemell füstölt mozzarellával töltve, gombás rizzsel;;
C menü:;;Zöldborsófőzelék fasírttal;Túrós derelye fahéjas tejföllel;Tengeri halfilé hollandi mártással, zöldséges rizzsel;;;
