Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Zöldborsó krémleves levesgyönggyel;Erdei gyümölcsleves;Savanyú burgonyaleves békési kolbásszal;Orjaleves csigatésztával;Gulyásleves;;
A menü:;Sertésragu stfoganoff módra orsó tésztával;Sertéspörkölt csülökkel, sós burgonyával;Fix – Szántódi ropogós sült burgonyával;Kentucky sertéstarja héjas burgonyával;Mogyorókrémes palacsinta;;
B menü:;Szezámmagos csirkemell kukoricás rizzsel;Hawaii csirkemell párolt jázminrizzsel;BBQ csirkecomb friss salátával, párolt rizzsel;Négysajtos rakott csirkés makaróni;Grillezett csirkemell sajtmártással, jázminrizzsel, friss salátával;;
C menü:;;Sörtésztában sült tengeri hal szalmaburgonyával, friss salátával;Grízes tészta sárgabarack lekvárral;Harcsapaprikás galuskával;;;
