Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Magyaros lebbencsleves;Sütőtökkémleves pirított tökmaggal;Békési betyárleves;Metélőhagymás kertészleves;Tárkonyos szárnyasraguleves;;
A menü:;Sertéssült tört burgonyával, ribizlis pecsenyelével;Sertéscsíkok Budapest módra kockaburgonyával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Marhapörkölt pásztortarhonyával;;
B menü:;Kentucky csirkemell coleslaw salátával;Füstölt sajttal-aszalt szilvával töltött csirkemell párolt jázminrizzsel;Joghurtban pácolt csirkecombfilé zöldséges bulgurral;Baconbe göngyölt csirkemáj burgonyapürével;Csirkemell panko morzsában sütve petrezselymes rizzsel;;
C menü:;;Sárgaborsó főzelék fokhagymás fasírozottal;Grízes tészta baracklekvárral;Káposztás tészta;;;
