Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Fokhagymakrémleves;Langyos-mézes almaleves;Kassai burgonyaleves;Csontleves csigatésztával;Csülkös bableves;;
A menü:;Paradicsomos húsgombóc főtt burgonyával;Sertésszelet párolt savanyú káposztával tört burgonyával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Szilvás derelye fahéjas porcukorral;;
B menü:;Roston csirkemell tejszínes gombamártással, párolt jázminrizzsel;Dubarry csirkemell párolt jázminrizzsel;Kakukkfüves-kacsamájas rizottó;Rántott csirkecomb rizibizivel;Firenzei csirkemell párolt jázminrizzsel;;
C menü:;;Sörtésztában sült tengeri hal joghurtos friss salátával;Aranygaluska vanília sodóval;Burgonyafőzelék fasírttal;;;
