Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Marha erőleves csigatésztával;Fokhagymakrémleves zsemlekockával;Savanyú burgonyaleves kolbásszal;Kertészleves eperlevéllel;Székelygulyás;;
A menü:;Mátrai borzas sertésbordából rizibizivel;Pusztapörkölt;Fix – Szántódi ropogós sült burgonyával;Sertésszelet budapest módra kocka burgonyával;Rakott túrós metélt sárgabarackkal;;
B menü:;Óvári csirkemell sajttal halmozva burgonyapürével;Kacsamell rizottó;Cheddar sajtos csirkemell csíkok spagetti tésztával;Camembert sajttal-aszalt szilvával töltött csirkemell párolt rizzsel;Grillezett csirkemell bulgurral bazsalikom pestóval;;
C menü:;;Harcsafilé paprikás lisztben sütve kukoricasalátával;Rizsfelfújt málnaöntettel;Sárgaborsó főzelék fokhagymás vagdalttal;;;
