Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Tyúkhúsleves;Erdei gyümölcsleves tejszínhabbal;Magyaros burgonyaleves Gyulai kolbásszal;Fokhagyma krémleves sajtos krutonnal;Szürkemarha gulyás;;
A menü:;Bolognai spagetti;Brassói aprópecsenye;Fix – Szántódi ropogós sült burgonyával;Mustáros tarja tepsis burgonyával;Vasi pecsenye hagymás tört burgonyával;;
B menü:;Kentucky csirkemell petrezselymes burgonyával;Cézár saláta kenyérkockával;Szicíliai csirkeragu párolt rizzsel;Bakonyi csirkeragu galuskával;Paradicsomos-mozzarellás csirkemell párolt jázminrizzsel;;
C menü:;;Rántott tengeri halfilé párolt jázminrizzsel;Aranygaluska vanília öntettel;Rántott cukkíni, rántott brokkoli párolt jázminrizzsel, tartármártással;;;
