Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Lebbencsleves;Kertészleves zabkockával;Sárgaborsó leves kolbásszal;Fahéjas szilvaleves;Szárnyas raguleves;;
A menü:;Rakott cukkínis makaróni füstölt tarjával;Lassan sült sertésszelet vadasan, burgonyagombóccal;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Lecsós sertéstokány tarhonyával;;
B menü:;Grillezett csirkemell bulgurral, bazsalikomos pesto mártással;Óvári csirkemell sajttal halmozva, párolt jázminrizzsel;Kakukkfüves csirkemell édesburgonyás rizottóval;Zöldfűszeres krémsajttal töltött csirkemell párolt jázminrizzsel;Parmezánbundás csirkemell vegyes körettel;;
C menü:;;Tengeri halfilé bécsi bundában, korongburgonyával, fokhagymás majonézzel;Máglyarakás;Gombapaprikás galuskával;;;
