Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Pünkösd;Zöldborsókrémleves levesgyönggyel;Magyaros burgonyaleves békési kolbásszal;Szamócakrémleves;Marha erőleves csigatésztával;;
A menü:;;Lyoni sertésszelet tört burgonyával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Székelykáposzta;;
B menü:;;Panko morzsás csirkemell párolt jázminrizzsel;Zöldséges csirkemell rizottó;Rántott csirkemáj snidlinges burgonyapürével;Vaslapon sült jércemell sajtmártással, burgonyakrokettel;;
C menü:;;;Darázsfészek vanília öntettel;Grillezett feta sajt bulgursalátával;;;
