Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Zöldborsó krémleves levesgyönggyel;Erdei gyümölcsleves;Savanyú burgonyaleves békési kolbásszal;Orjaleves csigatésztával;Fejtett bableves füstölt csülökkel;;
A menü:;Paprikáskrumpli sült debreceni kolbásszal;Sertésragu stroganoff módra orsó tésztával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokka pecsenye sült burgonyával;Epres-túrós palacsinta vanília öntettel;;
B menü:;Szezámmagos csirkemell kukoricás rizzsel;Dubbarry csirkemell párolt jázminrizzsel;Grill csirkecomb walldorf salátával, párolt rizzsel;Feta sajttal-olívabogyóval töltött csirkemell párolt jázminrizzsel;Grillezett csirkemell sajtmártásal, jázminrizzsel, friss salátával;;
C menü:;;Sörtésztában sült tengeri hal burgonyachipsszel, fokhagymás majonézzel;Grízes tészta sárgabarack lekvárral;Hortobágyi húsos palacsinta;;;
