Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Májgaluskaleves;Szilvaleves;Magyaros burgonyaleves debreceni kolbásszal;Zöldborsókrémleves;Marhahúsleves csigatésztával;;
A menü:;Rakott karfiol;Hentes tokány főtt tésztával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Tarhonyás hús;;
B menü:;Vaslapon sült jércemell sajtmártással, hercegnő burgonyával;Rántott csirkecomb snidlinges burgonyapürével;Tejszínes-parajos penne csirkecsíkokkal;Paradicsomos-csirkés rakott makaróni;Joghurtban pácolt csirkecombfilé fűszeres gerezdburgonyával, friss saláta kapros öntettel;;
C menü:;;Grillezett feta sajt friss kevert salátával;Vargabéles vaníliasodóval;Tengeri hal szezámmagos bundában párolt rizzsel;;;
