Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Brokkoli krémleves kenyérkockával;Zöldségleves eperlevéllel;Ünnepi menü;Frankfurti leves;Pacalos csorbaleves;;
A menü:;Sertésszelet jóasszony módra pirított burgonyával;Chili con carne pizzakenyérrel;;Fix – Mokkapecsenye sült burgonyával;Bácskai rizseshús;;
B menü:;Zöldfűszeres bundában sült csirkemell mexikói rizzsel;Argentín csirkecombfilé friss salátával, tzatzikivel;;Újhagymás-tejszínes-mustáros csirkeragu, párolt rizzsel;Csirkemell panko morzsa palástban sütőtökös burgonyapürével;;
C menü:;;Rántott sajt párolt jázminrizzsel;;Grízes tészta sárgabarack lekvárral;;;
