;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Brokkolikrémleves;Grízgaluskaleves;Bakonyi sertésraguleves;Csontleves cérnametélttel;Gulyásleves;;
A-menü;Paradicsomos húsgombóc főtt burgonyával;Székelykáposzta;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Zöldborsos-baconös aprópecsenye párolt jázminrizzsel;;
B-menü;Csirkemell roppanós bundában lila coleslaw salátával;Hawaii csirkemell kukoricás rizzsel;Snidlinges-cheddar sajtos csirkemellcsíkok spagettivel;Csirkepaprikás galuskával;Grillezett csirkemell petrezselymes burgonyával
C-menü;;Kukoricalisztben sült halfilé vajban párolt zöldséges bulgur;Grízes tészta sárgabarack lekvárral;Zöldbab főzelék fasírttal
