;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Lebbencsleves;Tyúkhúsleves csigatésztával;Korhelyleves;Francia hagymaleves;Falusi sertésraguleves;;
A-menü;Hortobágyi húsos palacsinta;Sokmagvas bundában sült sertéskaraj párolt jázminrizzsel;Fix – Szántódi ropogós sült burgonyával;Fix – Mokka pecsenye sült burgonyával;Lasagne;;
B-menü;Párizsi csirkemell rizibizivel;Tepsis csirkecomb vele sült zöldségekkel;Szecsuáni csirke sült tésztával;Körözöttel töltött csirkemell párolt jázminrizzsel;Gyros tál
C-menü;;Harcsafilé paprikás mártással, galuskával;Mákos guba vaníliaöntettel;Káposztás tészta
