Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Sajtkrémleves levesgyönggyel;Fahéjas szilvaleves;Erdélyi burgonyagombóc leves;Karfiolleves;Palócleves;;
A menü:;Paprikás krumpli kolbásszal;Betyártokány galuskával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Puszta pecsenye rizibizivel;;
B menü:;Parmezán bundában sült csirkemell párolt jázminrizzsel;Csirkecomb vele sült tepsis burgonyával;Toscan zöldséges penne fűszeres csirkecsíkokkal;BBQ csirkemell steak burgonyasalátával;Juhtúróval töltött csirkemell burgonyapürével;;
C menü:;;Sárgaborsó főzelék fasírttal;Mákos guba vanília öntettel;Rántott-füstölt sajt párolt rizzsel;;;
