Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Hamis gulyásleves;Fahéjas szilvaleves;Kárpáti savanyúleves kolbásszal;Kertészleves zabkockával;Szárnyas raguleves;;
A menü:;Mátrai borzas sertésbordából rizibizivel;Lassan sült sertésszelet vadasan, burgonyagombóccal;Fix – Szántódi ropogós sült burgonyával;Cigánypecsenye sült burgonyával;Lecsós sertéstokány kockaburgonyával;;
B menü:;Rakott cukkinis-csirkés makaróni füstölt sajttal;Óvári csirkemell sajttal halmozva, párolt jázminrizzsel;Kakukkfüves csirkemell édesburgonyás burgonyapürével;Zöldfűszeres krémsajttal töltött csirkemell, párolt jázminrizzsel;Grillezett csirkemell bulgurral, bazsalikomos pesto mártással;;
C menü:;;Tengeri halfilé kukoricalisztben sütve kukoricasalátával;Máglyarakás;Gombapaprikás galuskával;;;
