Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Brokkolikrémleves;Fahéjas almaleves;Kassai burgonyaleves kolbásszal;Tavaszváró vitaminleves eperlevéllel;Tárkonyos szárnyasraguleves;;
A menü:;Párizsi sertésszelet édesburgonya hasábbal;Hentestokány szarvacska tésztával;Fix – Szántódi ropogós sült burgonyával;Cigánypecsenye petrezselymes burgonyával;Lasagne;;
B menü:;Paradicsomos húsgombóc főtt burgonyával;Grillezett csirkemell joghurtos friss salátával, korong burgonyával;Caprese csirkemell párolt jázminrizzsel;Csirkemell rolád kacsamájjal, aszalt szilvával töltve, juharsziruppal párolt rizzsel;Kapros juhtúróval töltött csirkemell rizibizivel;;
C menü:;;Rántott tengeri halfilé kukoricás rizzsel, tartármártással;Áfonyás palacsinta vanília öntettel;Harcsapaprikás túrós csuszával;;;
