Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Tarhonyaleves;Póréhagyma krémleves;Szárnyas raguleves;Meggyleves;Csülkös bableves;;
A menü:;Fokhagymás sertéssült tört burgonyával;Temesvári sertéstokány főtt tésztával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Bolognai lasagne;;
B menü:;Rántott csirkemell rizibizivel;Dubarry csirkemell párolt jázminrizzsel;Ropogósra sült csirkecomb, vitamin saláta tzatziki öntettel;Tejszínes-bazsalikomos csirkecsíkok olívás jázminrizzsel;Eszterházy csirkemell párolt rizzsel;;
C menü:;;Zöldborsófőzelék fasírttal;Máglyarakás;Káposztás tészta;;;
