;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Májgaluskaleves;Szilvaleves;Magyaros burgonyaleves békési kolbásszal;Brokkolikrémleves;Marha erőleves csigatésztával;;
A-menü;Rakott karfiol;Hentes tokány főtt tésztával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Paprikás krumpli kolbásszal;;
B-menü;Vaslapon sült jércemell sajtmártással, hercegnő burgonyával;Rántott csirkemáj snidlinges burgonyapürével;Tejszínes-parajos penne csirkecsíkokkal;Paradicsomos-bazsalikomos tészta csirkgolyókkal;Joghurtban pácolt csirkecomb fűszeres gerezd burgonyával friss salátával
C-menü;;Grillezett feta sajt friss kevert salátával;Kákai rakott túrós palacsinta;Tengeri hal szezámmagos bundában párolt rizzsel
