Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Kertészleves zabkockával;Meggyleves;Magyaros burgonyaleves békési kolbásszal;Póréhagyma krémleves;Marha erőleves csigatésztával;;
A menü:;Lyoni sertésszelet tört burgonyával;Hortobágyi rakott makaróni;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Székelykáposzta;;
B menü:;Pankó morzsás csirkemell párolt jázminrizzsel;Rántott csirkemáj snidlinges burgonyapürével;Zöldséges csirkemell rizottó;Görög csirkecomb tzatziki salátával, sült pitával;Vaslapon sült jércemell tejszínes gombamártással, burgonyakrokettel;;
C menü:;;Paprikás lisztben sült tengeri halfilé kukoricasalátával;Darázsfészek vanília öntettel;Rántott sajt párolt rizzsel;;;
