Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Pükösd (ünnepnap);Zsenge zöldborsóleves;Tejfölös lencsegulyás;Szamócakrémleves;Tárkonyos sertésraguleves;;
A menü:;;Chilis bab sült pitával;Fix – Szántódi ropogós sült burgonyával;Lyoni sertésszelet párolt lilakáposztával, hasábburgonyával;Milánói sertésborda;;
B menü:;;Grillezett csirkemell joghurtos friss salátával, korong burgonyával;Paradicsomos-mozzarellás csirkemell párolt jázminrizzsel;Zúzapörkölt galuskával;Mediterrán csirkemell zöldséges kuszkusszal;;
C menü:;;;Mákos guba vanília öntettel;Rántott tengeri halfilé kukoricás rizzsel, tartármártással;;;
