Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Francia hagymaleves;Grízgaluskaleves;Bakonyi sertésraguleves;Sárgabarack krémleves;Gulyásleves;;
A menü:;Lecsós sertésszelet párolt rizzsel;Székelykáposzta;Fix – Szántódi ropogós sült burgonyával;Sertés flekken hagymás tört burgonyával;Túrós derelye fahéjas tejföllel;;
B menü:;Csirkemell roppanós bundában lila coleslaw salátával;Hawaii csirkemell kukoricás rizzsel;Snidlinges-cheddar sajtos csirkemellcsíkok spagettivel;Csirkepaprikás galuskával;Rántott csirkemell burgonyapürével;;
C menü:;;Zöldbabfőzelék fasírttal;Grízes tészta sárgabarack lekvárral;Kukoricalisztben sült halfilé vajban párolt zöldséggel;;;
