;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Tyúkhúsleves;Frankfurti leves;Ünnepi Ajánlat;Zöldborsóleves;Lencseleves füstölt tarjával;;
A-menü;Brassói aprópecsenye;Erzsébet szelet párolt jázminrizzsel;;Fix – Mokkapecsenye sült burgonyával;Szántódi ropogós sült burgonyával;;
B-menü;Paradicsomos-mozzarelás csirkemell párolt jázminrizzsel;Tejszínes-gombás csirke penne tésztával;;Csirkemell magvas bundában zöldséges kuszkusszal;Túrós csusza tepertővel
C-menü;;Tökfőzelék stefánia vagdalttal;;Rántott sajt párolt rizzsel
