Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Orjaleves;Mentás cseresznyeleves;Tárkonyos szárnyasraguleves;Zöldborsókrémleves;Csülkös bableves;;
A menü:;Paradicsomos húsgombóc főtt burgonyával;Bakonyi sertésragu főtt tésztával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Juhtúrós sztapacska mangalica tepertővel;;
B menü:;Csirkemell párizsi bundában sütve rizibizivel;Dubarry csirkemell párolt jázminrizzsel;Grill csirkecomb kukoricás rizzsel;Csirkecsíkok stroganoff módra párolt jázminrizzsel;Zöldfűszeres sajttal töltött csirkemell burgonyapürével;;
C menü:;;Sörtésztában sült tengeri hal burgonyachipssel;Kákai túrós palacsinta;Tökfőzelék fasírttal;;;
