Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Brokkolikrémleves;Fahéjas almaleves;Szoljanka leves;Tavaszi zöldségleves;Szárnyasraguleves;;
A menü:;Carbonara spagetti;Brassói aprópecsenye;Fix – Szántódi ropogós sült burgonyával;Juhtúróval töltött sertésborda sült burgonyával;Marhasült vadasan, szalvétagombóccal;;
B menü:;Zöldfűszeres csirkemell vegyes körettel;Csirkemell erdei gyümölcs raguval burgonyakrokettel;Óvári csirkemell párolt jázminrizzsel;Rakott sajtos-csirkés makaróni;BBQ csirkemell steak rizibizivel;;
C menü:;;Kukoricalisztbe sült tengeri halfilé franciasalátával;Rizsfelfújt málnaöntettel;Gombapaprikás galuskával;;;
