Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Orjaleves csigatésztával;Magyaros zöldbableves;Tárkonyos sertésraguleves;Mézes fahéjas almaleves;Szóljankaleves füstölt sonkával;;
A menü:;Bolognai spagetti;Borsos sertéstokány főtt tésztával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Sajtos hamburger hasábburgonyával;;
B menü:;Keleti ropogós bundában sült csirke párolt jázminrizzsel, currys tojássalátával;Őszibarackkal-edami sajttal rakott csirkemell párolt jázminrizzsel;Szecsuáni csirkemell pirított spagettivel;Mozzarellával, spenóttal töltött csirkemell párolt jázminrizzsel;Csirkemell mandulás bundában, céklás-joghurtos burgonyasalátával;;
C menü:;;Trikolor sonkás tésztasaláta;Mákos guba vanília öntettel;Borsófőzelék fasírttal;;;
