Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Nemzeti Ünnep;Orjaleves cérnametélttel;Alföldi gulyás;Mascarponés édesburgonya krémleves;Rozmaringos-tejszínes szárnyasraguleves;;
A menü:;;Bakonyi sertéstokány galuskával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Tarhonyás hús;;
B menü:;;Őszibarackkal-füstöltsajttal rakott csirkemell párolt jázminrizzsel;Sült csirkecomb céklás-joghurtos burgonyasalátával;Spanyol rakott csirkemell penne tésztával;Sajtos bundában sült csirkemell vegyes körettel;;
C menü:;;Trikolor sonkás tésztasaláta;Rizsfelfújt szamóca öntettel;Kukoricalisztben sült tengeri halfilé hollandi mártással, párolt rizzsel;;;
