Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Zellerkrémleves kenyérkockával;Tavaszváró zöldségleves zabkockával;Frankfurti leves;Fahéjas almaleves;Ünnepnap;;
A menü:;Sertéscsíkok stroganoff módra párolt jázminrizzsel;Csabai töltött karaj pásztortarhonyával;Fix – Szántódi ropogós sült burgonyával;Milánói sertésborda;;;
B menü:;Kijevi töltött csirkemell burgonyapürével;Rántott csirkecomb petrezselymes burgonyával;Tejszínes gombás csirkemell párolt jázminrizzsel;Roston csirkemell tarkabors mártással, hasábburgonyával;;;
C menü:;;Kapros tökfőzelék sertés vagdalttal;Daramorzsa sárgabarack lekvárral;;;;
