Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Tarhonyaleves békési kolbásszal;Májgaluskaleves;Csorbaleves burgonyagombóccal;Görög gyümölcsleves;Gyöngybableves füstölt csülökkel;;
A menü:;Velővel töltött sertésborda hasábburgonyával;Sertésragu stroganoff módra orsó tésztával;Fix – Szántódi ropogós sült burgonyával;Sonkával-gombával töltött karaj petrezselymes burgonyával;Szilvásgombóc fahéjas tejföllel;;
B menü:;Tejszínes-zöldséges csirkés spagetti;Roston sült csirkemell párolt rizzsel, tzatziki salátával;BBQ csirkecomb friss salátával, párolt rizzsel;Négysajtos rakott csirkés makaróni;Grillezett csirkemell sajtmártással, jázminrizzsel, friss salátával;;
C menü:;;Sörtésztában sült tengeri hal szalmaburgonyával;Grízes tészta sárgabarack lekvárral;Harcsapaprikás galuskával;;;
