Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Kertészleves eperlevéllel;Szamócakrémleves;Tejfölös lencsegulyás;Zsenge zöldborsóleves;Tárkonyos sertésraguleves;;
A menü:;Cigánypecsenye sültburgonyával;Hentes tokány szarvacska tésztával;Fix – Szántódi ropogós sült burgonyával;Lyoni sertésszelet párolt lilakáposztával, hasábburgonyával;Milánó sertésborda;;
B menü:;Sajtkrémmel töltött csirkemell rizibizivel;Grillezett csirkemell joghurtos friss salátával, korongburgonyával;Mediterrán csirkemell zöldséges bulgurral;Mexikói rakott csirkés lasagne;Gyros tál;;
C menü:;;Rántott tengeri halfilé kukoricás rizzsel, tartármártással;Máglyarakás;Sertésvagdalt burgonyafőzelékkel;;;
