Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Csontleves csigatésztával;Magyaros zöldbableves;Tárkonyos sertésraguleves;Hideg almaleves;Szóljankaleves füstölt sonkával;;
A menü:;Bolognai spagetti;Bakonyi sertéstokány galuskával;Fix – Szántódi ropogós sült burgonyával;Brassói aprópecsenye;Darázsfészek vanília sodóval;;
B menü:;Keleti ropogós bundában sült csirkecomb párolt jázminrizzsel curry-s majonézzel;Őszibarakkal-edami sajttal rakott csirkemell, párolt jázminrizzsel;Snidlinges cheddar sajtos csirkemell penne tésztával;Sajttal és fokhagymás parajjal tölött csirkemell párolt jázminrizzsel;Csirkemell mandulás bundában, céklás-joghurtos burgonyasalátával;;
C menü:;;Sonkás trikolor tésztasaláta;Szilvás derelye fahéjas porcukorral;Burgonyafőzelék fasírttal;;;
