Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Grízgaluskaleves;Tejszínes karalábéleves;Lencseleves füstölt csülökkel;Szatmári szilvaleves;Legényfogó leves húsgombóccal;;
A menü:;Lasagne;Párolt sertésszelet meggyszósszal, tört burgonyával;Fix – Szántódi ropogós sült burgonyával;Rakott karfiol;Sajtos hamburger hagymakarikával, hasábburgonyával;;
B menü:;Grillezett csirkemell zöldséges rizzsel;Zúzapörkölt galuskával;Baconbe göngyölt csirkemell sajtmártással, krokettel;Firenzei töltött csirkemell kukoricás rizzsel;Rántott csirkemell burgonyapürével;;
C menü:;;Rántott sajt párolt jázminrizzsel;Túrógombóc fahéjas tejföllel;Harcsapaprikás túrós metélttel;;;
