Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Tyúkhúsleves csigatésztával;Brokkolikrémleves;Palócleves;Zsenge zöldségleves;ÜNNEPNAP;;
A menü:;Bolognai spagetti;Tarhonyás hús;Fix – Szántódi ropogós sült burgonyával;Hortobágyi palacsinta;;;
B menü:;Kakukkfüves csirkemell vajban párolt zöldségekkel, burgonyakrokettel;Rántott csirkemáj édesburgonya pürével;Joghurtban pácolt csirkecombfilé édesburgonya hasábbal, friss salátával;Szezámmagos csirkemell rizibizivel;;;
C menü:;;Tengeri halfilé párizsi módra hollandi mártással, párolt jázmirnizzsel;Grízes tészta sárgabarack lekvárral;;;;
