Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Francia hagymaleves;Zöldségleves eperlevéllel;Frankfurti leves;Mézes vilmoskörte leves;Betyárleves;;
A menü:;Borzas csirkemell burgonyapürével;Chilis bab pizza kenyérrel;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Bácskai rizseshús;;
B menü:;Zöldfűszeres bundában sült csirkemell mexikói rizzsel;Argentín csirkecomb friss salátával, tzatzikivel, sült burgonyával;Újhagymás-tejszínes-mustáros csirkeragu párolt rizzsel;Csirkemell cheddar sajttal töltve párolt jázminrizzsel;Csirkemell panko morzsa palástban édesburgonya pürével;;
C menü:;;Zöldbabfőzelék fasírttal;Kákai rakott túrós palacsinta;Grillezett feta sajt grillezett zöldségekkel;;;
