Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Tarhonyaleves;Meggyleves;Szárnyas raguleves;Kertészleves eperlevéllel;Csülkös bableves;;
A menü:;Fokhagymás sertéssült tört burgonyával;Paprikáskrumpli debreceni kolbásszal;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Juhtúrós sztrapacska mangalica tepertővel;;
B menü:;Mátrai borzas csirkemell rizibizivel;Dubary csirkemell párolt jázminrizzsel;Grill csirkecomb sajtos-újhagymás kukoricasalátával;Tejszínes-gombás csirkemell olívás jázminrizzsel;Firenzei csirkemell burgonyapürével;;
C menü:;;Zöldborsófőzelék fasírttal;Máglyarakás;Sörtésztába sült tengeri hal fűszeres burgonyával, salátával;;;
