;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Tarhonyaleves;Rántott csirkemell rizibizivel;Korhelyleves;Kertészleves zabkockával;Falusi sertésraguleves;;
A-menü;Rakott brokkoli;Sertésszelet Budapest módra kockaburgonyával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Sertésszelet füstölt mozzarellával töltve gombás rizzsel;;
B-menü;Rántott csirkemell rizibizivel;BBQ csirkecomb fűszeres burgonyával, friss salátával;Édes-savanyú csirke párolt rizzsel;Kijevi jércemell párolt jázminrizzsel;Gyrostál
C-menü;;Zöldborsófőzelék fasírttal;Túrós derelye fahéjas tejföllel;Krumplis tészta
