Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Paradicsomleves betűtésztával;Tejszínes áfonyaleves;Szárnyas raguleves;Karfiolleves csurgatott tésztával;Marhahúsleves csigatésztával;;
A menü:;Korzikai aprópecsenye kocka burgonyával;Csárdás tokány főtt tésztával;Fix – Szántódi ropogós sült burgonyával;Sörös-mustáros tarja tepsis burgonyával;Csülkös sertéspörkölt tarhonyával;;
B menü:;Párizsi csirkemell rizibizivel;Szezámmagos csirkemell franciasalátával;Tejszínes-parajos színes penne csirkecsíkokkal;Csirkepaprikás galuskával;Joghurtban pácolt csirkemell fűszeres gerezdburgonyával, friss salátával, kapros öntettel;;
C menü:;;Tengeri hal paprikás lisztben sütve párolt rizzsel, sült hagymás majonézzel;Mákosguba vaníliasodóval;Rántott sajt párolt jázminrizzsel, tartármártással;;;
