Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Húsvéti Ajánlat;Lebbencsleves;Párizsi csirkemell zöldséges rizzsel;Francia hagymaleves;Falusi sertésraguleves;;
A menü:;;Sertésszelet Budapest módra kockaburgonyával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokka pecsenye sült burgonyával;Lasagne;;
B menü:;;Párizsi csirkemell zöldséges rizzsel;Szecsuáni csirke pirított tésztával;Sajttal-brokkolival töltött csirkemell párolt jázminrizzsel;Gyros tál;;
C menü:;;;Mákos guba vanília öntettel;Harcsafilé paprikás mártással, galuskával;;;
