;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Bazsalikomos-paradicsomos zöldségleves;Tejszínes zöldborsóleves;Bográcsgulyás;Csontleves cérnametélttel;Csorbaleves;;
A-menü;Rakott burgonya;Sertéspörkölt csülökkel, sós burgonyával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Sült oldalas párolt káposztával, hagymás törtburgonyával;;
B-menü;Rakott burgonya;Fűszeres tejfölben sült csirkecomb rizibizivel;Fűszeres csirkemellcsíkok tökmagos bulgursalátával;Kacsamájjal töltött csirkemell rizzsel;Sonkás-kukoricás pizza
C-menü;;Fokhagymás spenótfőzelék rántott tengeri hallal;Túrógombóc fahéjas tejföllel;Kelkáposzta főzelék fasírttal
