Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Orjaleves csigatésztával;Kapros zöldbableves;Tárkonyos sertésraguleves;Hideg almaleves;Szóljankaleves füstölt sonkával;;
A menü:;Bolognai spagetti;Csikós tokány főtt tésztával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Sajtos hamburger hasábburgonyával;;
B menü:;Keleti ropogós bundában sült csirke párolt jázminrizzsel;Őszibarackkal-füstöltsajttal rakott csirkemell párolt jázminrizzsel;Indiai csirkecsíkok joghurtos friss salátával, sült pitával;Rántott csirkecombfilé rizibizivel;Csirkemell mandulás bundában, céklás-joghurtos burgonyasaláta;;
C menü:;;Trikolor sonkás tésztasaláta;Túrós derelye fahéjas tejföllel;Burgonyafőzelék fasírttal;;;
