;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Zsenge zöldségleves eperlevéllel;Szamócakrémleves;Rozmaringos betyárleves;Csontleves zabkockával;Palócleves;;
A-menü;Bolognai spagetti;Tarhonyás hús;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Juhtúróval töltött sertésborda tört burgonyával;;
B-menü;Grillezett csirkemell vajban párolt zöldségekkel;Csirkemell sajtos parajkrémmel töltve, párolt jázminrizzsel;Joghurtban pácolt csirkecombfilé fűszeres burgonyával, friss salátával;Rakott brokkolis-sajtos tészta;Szezámmagos csirkemell rizibizivel
C-menü;;Sárgaborsó főzelék fasírttal;Túrógombóc fahéjas tejföllel;Tengeri halfilé párizsi módra hollandi mártással, párolt jázminrizzsel
