Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Csontleves csigatésztával;Francia hagymaleves;Temesvári raguleves;Mézes vilmoskörte leves;Falusi sertésraguleves;;
A menü:;Sokmagvas bundában sült sertéskaraj párolt jázminrizzsel;Sertésszelet Budapest módra pirított kockaburgonyával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Töltött káposzta;;
B menü:;Roston csirkemell erdeigyümölcs mártással, burgonyakrokettel;Juhtúróval töltött csirkemell párolt jázminrizzsel;Édes-savanyú ananászos csirke pirított fokhagymás spagettivel;Pirosra sült grill csirkecomb, franciasalátával;Párizsi csirke petrezselymes burgonyával;;
C menü:;;Káposztás tészta;Mákos guba vaníliasodóval;Harcsapaprikás galuskával;;;
