Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Francia hagymaleves kenyérkockával;Zöldségleves eperlevéllel;Frankfurti leves;Mézes vilmoskörte leves;Betyárleves;;
A menü:;Bácskai rizseshús;Chilis bab pizzakenyérrel;Fix – Szántódi ropogós sült burgonyával;Sörös-mustáros tarja hasábburgonyával;Rakott krumpli;;
B menü:;Sajtos bundában sült csirkemell mexikói zöldséggel, bulgurral;Csirkemell panko morzsa palástban vajas pürével;Argentin csirkemell friss salátával, tzatzikivel, sült burgonyával;Tepsis csirkecomb vele sült zöldségekkel;Csirkemell cheddar sajttal töltve párolt jázminrizzsel;;
C menü:;;Zöldbabfőzelék fasírttal;Vargabéles arany mazsolával, vanília krémmel;Grillezett feta sajt friss salátával;;;
