Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Paradicsomleves betűtésztával;Csontleves eperlevéllel;Frankfurti leves;Joghurtos sárgabarackleves;Tejfölös lencsegulyás;;
A menü:;Rakott zöldbab;Bácskai rizseshús;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Velővel töltött sertéskaraj, hasábburgonyával;;
B menü:;Zöldfűszeres bundában sült csirkemell mexikói rizzsel;Grillezett csirkemell szeletek meggymártással, burgonyahabbal;Tejszínes-póréhagymás csirkeragu penne tésztával;Csirkepaprikás galuskával;Csirkemell panko morzsa palástban, párolt jázminrizzsel;;
C menü:;;Zöldborsófőzelék fasírttal;Rizsfelfújt erdeigyümölcs mártással;Tengeri halfilé bécsi bundában, francia salátával;;;
