Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Lebbencsleves;Sárgabarack krémleves tejszínhabbal;Korhelyleves füstölt csülökkel;Zsenge zöldségleves zabkockával;Legényfogó leves;;
A menü:;Rakott milánói makaróni pármai sonkával;Vasi pecsenye hagymás törtburgonyával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Brassói aprópecsenye;;
B menü:;Sokmagvas csirkemell szalmaburgonyával;Cézár saláta kenyérkockával;Szicíliai csirkeragu párolt rizzsel;Bakonyi csirkeragu galuskával;Szilvás gombóc fahéjas porcukorral;;
C menü:;;Rántott tengeri halfilé párolt jázminrizzsel;Túrós derelye fahéjas tejföllel;Rántott cukkini, rántott brokkoli, párolt jázminrizs;;;
