Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Zöldségleves zabkockával;Vilmoskörteleves;Marhahúsleves csigatésztával;Brokkolikrémleves levesgyönggyel;Pikáns burgonyagombóc leves füstölt tarjával;;
A menü:;Bolognai spagetti;Óvári sertésszelet párolt rizzsel;Fix – Szántódi ropogós sült burgonyával;Tarkaborsos sertéstokány főtt tésztával;Juhtúrós sztrapacska;;
B menü:;Parmezán bundás csirkemell szelet mexikói rizzsel;Snidlinges cheddar sajttal töltött csirkemell szalmaburgonyával;Magyaros csibemáj sós burgonyával;Pácolt Argentin csirkecomb bulgurral, kukorica salátával;Párizsi csirkemell petrezselymes burgonyával;;
C menü:;;Sárgaborsó főzelék sült kolbásszal;Rizsfelfújt erdei gyümölcs öntettel;„Balatoni” hekk hasábburgonyával;;;
