Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Ünnepnap;Ünnepnap;Csirkeraguleves;Eperkrémleves;Orjaleves csigatésztával;;
A menü:;;;Fix – Szántódi ropogós sült burgonyával;Tarhonyás hús;Carbonara spagetti;;
B menü:;;;Édes-savanyú csirkemell pirított tésztával;Kijevi csirkemell hasábburgonyával;Sokmagvas csirkemell amerikai káposztasalátával, hasábburgonyával;;
C menü:;;;;Tengeri hal roston, hollandi mártással, párolt jázminrizzsel;;;
