Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Zöldbableves;Vegyes gyümölcsleves;Szarvasraguleves;Póréhagyma krémleves;Csülkös bableves;;
A menü:;Bolognai spagetti;Resztelt máj sós burgonyával;Fix – Szántódi ropogós sült burgonyával;Tarhonyás hús;Diós nudli sárgabaracklekvárral;;
B menü:;Dubarry csirkemell párolt jázminrizzsel;Parmezánbundás csirkemell zöldséges rizzsel;Grill csirkecomb waldorf salátával;Tejszínes bazsalikom csirkemell olivás rizzsel;Párizsi csirkemell párolt jázminrizzsel;;
C menü:;;Zöldborsófözelék sertésvagdalttal;Szilvás derelye fahéjas porcukorral;Tengeri halfilé paprikás lisztben sütve korongburgonyával;;;
