Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Paradicsomleves betűtésztával;Grízgaluskaleves;Nyírségi sertésraguleves burgonyagombóccal;Spárgakrémleves levesgyönggyel;Csángógulyás;;
A menü:;Rakott brokkoli;Csikós tokány szarvacska tésztával;Fix – Szántódi ropogós sült burgonyával;Csabai kolbásszal töltött karaj hasábburgonyával;Juhtúrós sztrapacska tepertővel;;
B menü:;Csirkemell roppanós bundában lila coleslaw salátával;Tócsni bundában sült csirkemell joghurtos friss kevert salátával, párolt rizzsel;Cézár saláta sült lepénnyel, parmezán sajttal;Csirkemájas rizottó;Hawaii csirkemell kukoricás rizzsel;;
C menü:;;Burgonyafőzelék stefánia vagdalttal;Túrós derelye fahéjas porcukorral;Rántott tengeri halfilé vajban párolt zöldséges bulgurral;;;
