Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Olasz zöldségleves;Vilmoskörteleves;Falusi sertés raguleves;Zöldborsó krémleves;Korhelyleves;;
A menü:;Cigány pecsenye sült burgonyával;Ropogósra sült csülök hagymás törtburgonyával;Fix – Szántódi ropogós sült burgonyával;Rakott makaróni;Sokmagvas bundában sült sertéskaraj párolt rizzsel;;
B menü:;Párizsi csirkemell zöldséges rizzsel;Kijevi csirkemell petrezselymes rizzsel;Édes savanyú csirke pirított tésztával;Csirkemell négysajt mártással burgonyakrokettel;Gyrostál;;
C menü:;;Káposztás tészta;Szilvás derelye fahéjas porcukorral;Tengeri halfilé paraj raguval, mogyorós jázminrizzsel;;;
