Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Spárgakrémleves levesgyönggyel;Orjaleves csigatésztával;Magyaros burgonyaleves;Kertészleves;Bajai halászlé;;
A menü:;Paradicsomos húsgombóc főtt burgonyával;Lecsós sertésszelet párolt jázminrizzsel;Fix – Szántódi ropogós sült burgonyával;Sertésszelet vadasan szalvétagombóccal;Túrós tészta szalonnával;;
B menü:;Csirkemell bécsi bundában, rizibizivel;Grillezett csirkemell erdeigyümölcs mártással, hercegnő burgonyával;Csirkemell csíkok parajos penne tésztával;Őszibarackos csirkemell sajttal sütve burgonya- pürével;Grillezett csirkemell hasábburgonyával, görögsalátával;;
C menü:;;Sárgaborsó főzelék sült kolbásszal;Mákosguba vanília öntettel;Tengeri hal fekete szezámmagos bundában párolt jázminrizzsel, fokhagymás majonézzel;;;
