Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Tojásleves;Fahéjas szilvaleves;Sárgaborsó leves békési kolbásszal;Tyúkhúsleves csigatésztával;Legényfogó leves húsgombóccal;;
A menü:;Milánói sertésborda;Brassói aprópecsenye;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Lecsós sertéstokány tarhonyával;;
B menü:;Grillezett csirkemell zöldéges bulgurral;Csirkecombfilé bécsi bundában párolt jázminrizzsel;Óvári csirkemell sajttal halmozva, párolt jázminrizzsel;Kakukkfüves csirkemell édesburgonyás rizottóval;Gordon blue petrezselymes burgonya;;
C menü:;;Tökfőzelék sertésvagdalttal;Máglyarakás;Tengeri hal magvas bundában, kapros-joghurtos salátával;;;
