;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Karácsony;Tyúkhúsleves csigatésztával;Sajtkrémleves zsemlekockával;Zöldborsóleves;Burgonyaleves kolbásszal;;
A-menü;;Párizsi csirke kukoricás rizzsel;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Olaszos csirkemell párolt jázminrizzsel;;
