Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Sajtkrémleves;Marhahúsleves cérnametélttel;Burgonyaleves békési kolbásszal;Sárgabarack krémleves mandulával;Csorbaleves húsgombóccal;;
A menü:;Rakott karfiol;Erzsébet szelet párolt jázminrizzsel;Fix – Szántódi ropogós sült burgonyával;Fix – Mokka pecsenye sült burgonyával;Lasagne;;
B menü:;Csirkemellsteak tarkabors mártással, petrezselymes burgonyával;Csirkemell jóasszony módra pirított kockaburgonyával;Snidlinges-cheddar sajtos csirkemell spagetti tésztával;Panko morzsában sült csirkemell rizibizivel;Csirkemell sajttal-baconnel töltve, párolt jázminrizzsel;;
C menü:;;Orosz hússaláta főtt tojással;Aranygaluska vanília sodóval;Káposztás tészta;;;
