Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Tarhonyaleves;Orjaleves csigatésztával;Vadraguleves;Tavaszi zöldségleves;Zöldbableves kolbásszal;;
A menü:;Rakott burgonya békési kolbásszal;Székelykáposzta;Fix – Szántódi ropogós sült burgonyával;Sertésszelet tört burgonyával, meggyszósszal;Korzikai aprópecsenye;;
B menü:;Párizsi csirkemell friss salátával, párolt jázminrizzsel;Dubarry csirkemell burgonyapürével;Kentucky csirkecomb tepsis korongburgonyával;Kijevi csirkemell petrezselymes jázminrizzsel;Sokmagvas csirkemell rizibizivel;;
C menü:;;Rántott brokkoli, cukkini, párolt rizzsel, tartármártással;Szilvás derelye fahéjas porcukorral;Tökfőzelék sertésvagdalttal;;;
