Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Lebbencsleves;Vegyes gyümölcsleves;Pikáns burgonyagombóc leves békési kolbásszal;Édesburgonya krémleves levesgyönggyel;Szárnyas „becsinált” leves;;
A menü:;Mexikói rakott makaróni;Óvári sertésszelet párolt rizzsel;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Túróscsusza tepertővel;;
B menü:;Parmezán budás csriekemell szelet párolt jázminrizzsel;Aszalt gyümölccsel-sajttal töltött csirkemell burgonyakrokettel;Toscan zöldséges-csirkés penne;Brokkolival-sajttal töltött csirkemell párolt jázminrizzsel;Pácolt Argentin csirkecombfilé petrezselymes burgonyával;;
C menü:;;Sárgaborsó főzelék zöldséges vagdalttal;Áfonyás palacsinta vanília öntettel;Gombapaprikás galuskával;;;
