;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Orjaleves cérnametélttel;Kapros zöldbableves;Legényfogóleves húsgombóccal;Mézes almaleves;Csülkös szoljánkaleves;;
A-menü;Sörös-mustáros sertésszelet tört burgonyával;Bakonyi sertéstokány főtt tésztával;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Óvári sertésszelet párolt jázminrizzsel;;
B-menü;Keleti zöldséges csirkemell párolt jázminrizzsel;Őszibarackkal és füstölt sajttal rakott csirkemell párolt jázminrizzsel;Zúzapörkölt galuskával;Sajttal-baconnel töltött csirkemell kukoricás rizzsel;Csirkemell mandulás bundában céklás joghurtos burgonyasaláta
C-menü;;Burgonyafőzelék stefánia vagdalttal;Szilvás derelye fahéjas porcukorral;Trikolor sonkás tésztasaláta
