Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Spárgakrémleves levesgyönggyel;Orjaleves cérnametélttel;Palócleves;Kertészleves;Frankfurti leves;;
A menü:;Rakott burgonya kolbásszal;Lecsós sertésszelet párolt jázminrizzsel;Fix – Szántódi ropogós sült burgonyával;Paradicsomos húsgombóc főtt burgonyával;Sertésszelet vadasan, szalvétagombóccal;;
B menü:;Csirkemell bécsi bundában rizibizivel;Aszalt sárgabarackkal töltött csirkemell mandulás bundában, hercegnő burgonyával;Csirkemellcsíkok parajos penne tésztával;Őszibarackos csirkemell sajttal sütve, burgonyapürével;Grillezett csirkemell hasábburgonyával, görög salátával;;
C menü:;;Zöldborsófőzelék fasírttal;Mákos guba vanília öntettel;Tengeri hal fekete szezámmagos bundában, párolt jázminrizzsel, fokhagymás majonézzel;;;
