Nap;Hétfő;Kedd;Szerda;Csütörtök;Péntek;Szombat;Vasárnap
Leves;Paradicsomleves;Tejszínes zöldborsóleves csurgatott tésztával;Tyúkhúsleves csigatésztával;Brokkolikrémleves;Székelygulyás;;
A menü:;Dijoni mustáros sertésszelet tepsis burgonyával;Sertéscsíkok stroganoff módra párolt rizzsel;Fix – Szántódi ropogós sült burgonyával;Fix – Mokkapecsenye sült burgonyával;Carbonara spagetti parmezán sajttal;;
B menü:;Brokkolival-füstölt sajttal töltött csirkemell párolt jázminrizzsel;Gyros tál sült pitávall;Csirkemell vaslapon sütve cheddar sajtmártással, hercegnőburgonyával;Csirkemáj bécsi bundában rizibizivel, tartármártással;Hawaii csirkemell kukoricás rizzsel;;
C menü:;;Tökfőzelék stefánia vagdalttal;Túrógombóc fahéjas tejföllel;Harcsapaprikás galuskával;;;
